"Title","Year","Venue","Venue Short","Authors","ISSN","Qualis CAPES"
"A multi-agent model system for land-use change simulation.","2013","Environmental Modelling and Software","Environ. Model. Softw.","Célia Ghedini Ralha;Carolina G. Abreu;Cássio Giorgio Couto Coelho;Alexandre Zaghetto;Bruno Macchiavello;Ricardo B. Machado","1364-8152","A1"
"Loss-resilient Coding of Texture and Depth for Free-viewpoint Video Conferencing","2013","Computing Research Repository (CoRR)","CoRR","Bruno Macchiavello;Camilo C. Dorea;Edson M. Hung;Gene Cheung;Wai-tian Tan","N/A","N/A"
"MAS-Cloud+: A novel multi-agent architecture with reasoning models for resource management in multiple providers.","2024","Future Generation Computer Systems","Future Gener. Comput. Syst.","Aldo H. D. Mendes;Michel J. F. Rosa;Marcelo Antonio Marotta;Aletéia P. F. Araújo;Alba C. M. A. Melo;Célia Ghedini Ralha","0167-739X","A1"
"Author name disambiguation literature review with consolidated meta-analytic approach.","2024","International Journal on Digital Libraries (JODL)","Int. J. Digit. Libr.","Natan de Souza Rodrigues;Ari Melo Mariano;Célia G. Ralha","1432-5012","A1"
"Method for evaluating plan recovery strategies in dynamic multi-agent environments.","2023","Journal of Experimental and Theoretical Artificial Intelligence (JETAI)","J. Exp. Theor. Artif. Intell.","Leonardo Henrique Moreira;Célia Ghedini Ralha","N/A","N/A"
"AC2CD: An actor-critic architecture for community detection in dynamic social networks.","2023","Knowledge-Based Systems","Knowl. Based Syst.","Aurélio Ribeiro Costa;Célia Ghedini Ralha","0950-7051","A1"
"MASE-EGTI: An agent-based simulator for environmental land change.","2022","Environmental Modelling and Software","Environ. Model. Softw.","Cássio Giorgio Couto Coelho;Célia Ghedini Ralha","1364-8152","A1"
"Scientific Collaboration Network Views: A Brazilian Computer Science Graduate Programs Case.","2022","Journal of Information and Data Management (JIDM)","J. Inf. Data Manag.","Aurelio Ribeiro Costa;Vanessa Tavares Nunes;Célia Ghedini Ralha","2166-6288","C"
"An efficient lightweight coordination model to multi-agent planning.","2022","Knowledge and Information Systems (KAIS)","Knowl. Inf. Syst.","Leonardo Henrique Moreira;Célia Ghedini Ralha","0219-1377","A2"
"Development process of multiagent system for glycemic control of intensive care unit patients.","2021","Artificial Intelligence Research","Artif. Intell. Res.","Tiago Henrique Faccio Segato;Célia Ghedini Ralha;Sérgio Eduardo Soares Fernandes","0269-2821","A1"
"Computational resource and cost prediction service for scientific workflows in federated clouds.","2021","Future Generation Computer Systems","Future Gener. Comput. Syst.","Michel J. F. Rosa;Célia Ghedini Ralha;Maristela Holanda;Aletéia P. F. Araújo","0167-739X","A1"
"An Agent-Based Model for Simulating Irrigated Agriculture in the Samambaia Basin in Goiás.","2021","Revista de Inform&#225;tica Te&#243;rica e Aplicada - RITA","RITA","Guido Dutra de Oliveira;Pedro Phelipe Gonçalves Porto;Conceição de Maria Albuquerque Alves;Célia Ghedini Ralha","2175-2745","B3"
