Titulo,Ano,Venue,VenueShort,Type,Authors,ISSN,Qualis
"Comparison of FaaS Platform Performance in Private Clouds.","2022","International Conference on Cloud Computing and Services Science (CLOSER)","CLOSER","Conference","Marcelo Augusto da Cruz Motta;Leonardo Rebouças de Carvalho;Michel Junio Ferreira Rosa;Aletéia Patrícia Favacho de Araújo","-","A3"
"Monitoring Fog Computing: a Review, Taxonomy and Open Challenges.","2022","Computing Research Repository (CoRR)","CoRR","Journal","Breno G. S. Costa;João Bachiega Jr.;Leonardo Rebouças de Carvalho;Michel J. F. Rosa;Aletéia P. F. Araújo","-","N/A"
"Computational resource and cost prediction service for scientific workflows in federated clouds.","2021","Future Generation Computer Systems","Future Gener. Comput. Syst.","Journal","Michel J. F. Rosa;Célia Ghedini Ralha;Maristela Holanda;Aletéia P. F. Araújo","0167-739X","A1"
"Resource Prediction Service for Efficient Execution of Bioinformatics Workflows in Federated Cloud with Machine Learning.","2021","IEEE International Conference on Bioinformatics and Biomedicine (BIBM)","BIBM","Conference","Matheus Sobrinho;Michel J. F. Rosa;Waldeyr M. C. Silva;Aletéia Patrícia Favacho de Araújo","-","A2"
"The Brazilian School Girls' Perspectives on a Computer Science Major.","2020","CLEI electronic journal","CLEI Electron. J.","Journal","Maristela Holanda;Roberto Nunes Mourão;Guilherme Novaes Ramos;Aletéia P. F. Araújo;Maria Emília M. T. Walter;Vinicius Borges;George von Borries","0717-5000","B2"
"Managing data provenance for bioinformatics workflows using AProvBio.","2019","International Journal of Computational Biology and Drug Design (IJCBDD)","Int. J. Comput. Biol. Drug Des.","Journal","Rodrigo F. Almeida;Waldeyr Mendes Cordeiro da Silva;Klayton Castro;Aletéia Patrícia Favacho de Araújo;Maria Emília Telles Walter;Sérgio Lifschitz;Maristela Holanda","1756-0764","B2"
"Design Thinking Versus Design Sprint: A Comparative Study.","2019","International Conference on Human-Computer Interaction (HCI International)","HCI","Conference","Carlos Magno Mendonça de Sá Araújo;Ivon Miranda Santos;Edna Dias Canedo;Aletéia Patrícia Favacho de Araújo","-","N/A"
"Cost and Time Prediction for Efficient Execution of Bioinformatics Workflows in Federated Cloud.","2018","IEEE International Conference on Bioinformatics and Biomedicine (BIBM)","BIBM","Conference","Michel J. F. Rosa;Aletéia P. F. Araújo;Felipe L. S. Mendes","-","A2"
"BioNimbuZ: a federated cloud platform for bioinformatics applications.","2017","International Journal of Data Mining and Bioinformatics (IJDMB)","Int. J. Data Min. Bioinform.","Journal","Aletéia Patrícia Favacho de Araújo;Michel J. F. Rosa;Breno Moura;Guilherme Vergara;Maristela Holanda;Maria Emília Telles Walter","1748-5673","A3"
"AProvBio: An architecture for data provenance in bioinformatics workflows using graph database.","2017","IEEE International Conference on Bioinformatics and Biomedicine (BIBM)","BIBM","Conference","Rodrigo F. Almeida;Waldeyr Mendes Cordeiro da Silva;Klayton Castro;Maria Emília Telles Walter;Aletéia Patrícia Favacho de Araújo;Maristela Holanda;Sérgio Lifschitz","-","A2"
